Country/Area,Technology,Grid Connection,Year,Heat Generation (TJ)
Austria,Solid biofuels,Heat (Commercial),2020,25028.774
Austria,Solid biofuels,Heat (Commercial),2021,27660.574
Austria,Solid biofuels,Heat (Commercial),2022,25167.474
Austria,Solid biofuels,Combined Heat and Power (CHP),2000,929.001
Austria,Solid biofuels,Combined Heat and Power (CHP),2001,636.999
Austria,Solid biofuels,Combined Heat and Power (CHP),2002,909.0
Austria,Solid biofuels,Combined Heat and Power (CHP),2003,1284.0
Austria,Solid biofuels,Combined Heat and Power (CHP),2004,2667.005
Austria,Solid biofuels,Combined Heat and Power (CHP),2005,3486.727
Austria,Solid biofuels,Combined Heat and Power (CHP),2006,6057.783
Austria,Solid biofuels,Combined Heat and Power (CHP),2007,8931.639
Austria,Solid biofuels,Combined Heat and Power (CHP),2008,12372.321
Austria,Solid biofuels,Combined Heat and Power (CHP),2009,12155.173
Austria,Solid biofuels,Combined Heat and Power (CHP),2010,13381.648
Austria,Solid biofuels,Combined Heat and Power (CHP),2011,15743.086
Austria,Solid biofuels,Combined Heat and Power (CHP),2012,16788.218
Austria,Solid biofuels,Combined Heat and Power (CHP),2013,16146.852
Austria,Solid biofuels,Combined Heat and Power (CHP),2014,13879.355
Austria,Solid biofuels,Combined Heat and Power (CHP),2015,15158.394
Austria,Solid biofuels,Combined Heat and Power (CHP),2016,14588.63
Austria,Solid biofuels,Combined Heat and Power (CHP),2017,15574.171
Austria,Solid biofuels,Combined Heat and Power (CHP),2018,14784.471
Austria,Solid biofuels,Combined Heat and Power (CHP),2019,14963.071
Austria,Solid biofuels,Combined Heat and Power (CHP),2020,14622.071
Austria,Solid biofuels,Combined Heat and Power (CHP),2021,15406.771
Austria,Solid biofuels,Combined Heat and Power (CHP),2022,14875.671
Austria,Renewable municipal waste,Heat (Commercial),2000,442.0
Austria,Renewable municipal waste,Heat (Commercial),2001,427.0
Austria,Renewable municipal waste,Heat (Commercial),2002,504.0
Austria,Renewable municipal waste,Heat (Commercial),2003,428.0
Austria,Renewable municipal waste,Heat (Commercial),2004,445.0
Austria,Renewable municipal waste,Heat (Commercial),2005,490.132
Austria,Renewable municipal waste,Heat (Commercial),2006,508.606
Austria,Renewable municipal waste,Heat (Commercial),2007,591.683
Austria,Renewable municipal waste,Heat (Commercial),2008,604.204
Austria,Renewable municipal waste,Heat (Commercial),2009,547.181
Austria,Renewable municipal waste,Heat (Commercial),2010,560.038
Austria,Renewable municipal waste,Heat (Commercial),2011,564.31
Austria,Renewable municipal waste,Heat (Commercial),2012,581.903
Austria,Renewable municipal waste,Heat (Commercial),2013,601.21
Austria,Renewable municipal waste,Heat (Commercial),2014,608.532
Austria,Renewable municipal waste,Heat (Commercial),2015,569.598
Austria,Renewable municipal waste,Heat (Commercial),2016,572.08
Austria,Renewable municipal waste,Heat (Commercial),2017,611.805
Austria,Renewable municipal waste,Heat (Commercial),2018,599.787
Austria,Renewable municipal waste,Heat (Commercial),2019,604.686
Austria,Renewable municipal waste,Heat (Commercial),2020,582.603
Austria,Renewable municipal waste,Heat (Commercial),2021,581.627
Austria,Renewable municipal waste,Heat (Commercial),2022,532.507
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2000,606.0
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2001,605.0
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2002,633.0
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2003,654.0
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2004,747.0
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2005,669.352
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2006,639.647
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2007,653.429
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2008,817.774
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2009,1237.81
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2010,1474.01
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2011,1687.52
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2012,1477.42
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2013,1348.24
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2014,1511.26
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2015,1834.34
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2016,2014.35
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2017,2129.24
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2018,2091.36
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2019,2443.51
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2020,2668.92
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2021,3079.8
Austria,Renewable municipal waste,Combined Heat and Power (CHP),2022,2926.88
Austria,Liquid biofuels,Heat (Commercial),2006,0.37
Austria,Liquid biofuels,Heat (Commercial),2007,0.165
Austria,Liquid biofuels,Heat (Commercial),2008,0.165
Austria,Liquid biofuels,Heat (Commercial),2009,0.57
Austria,Liquid biofuels,Heat (Commercial),2010,0.05
Austria,Liquid biofuels,Heat (Commercial),2013,11.324
Austria,Liquid biofuels,Heat (Commercial),2014,20.011
Austria,Liquid biofuels,Heat (Commercial),2015,23.471
Austria,Liquid biofuels,Heat (Commercial),2016,22.3
Austria,Liquid biofuels,Heat (Commercial),2017,25.263
Austria,Liquid biofuels,Heat (Commercial),2018,21.214
Austria,Liquid biofuels,Combined Heat and Power (CHP),2002,9.0
Austria,Liquid biofuels,Combined Heat and Power (CHP),2003,3.0
Austria,Liquid biofuels,Combined Heat and Power (CHP),2004,153.0
Austria,Liquid biofuels,Combined Heat and Power (CHP),2005,272.844
Austria,Liquid biofuels,Combined Heat and Power (CHP),2006,404.77
Austria,Liquid biofuels,Combined Heat and Power (CHP),2007,482.024
Austria,Liquid biofuels,Combined Heat and Power (CHP),2008,245.011
Austria,Liquid biofuels,Combined Heat and Power (CHP),2009,268.822
Austria,Liquid biofuels,Combined Heat and Power (CHP),2010,170.485
Austria,Liquid biofuels,Combined Heat and Power (CHP),2011,23.295
Austria,Biogas,Heat (Commercial),2006,93.645
Austria,Biogas,Heat (Commercial),2007,102.815
Austria,Biogas,Heat (Commercial),2008,177.61
Austria,Biogas,Heat (Commercial),2009,67.0
Austria,Biogas,Heat (Commercial),2010,72.435
Austria,Biogas,Heat (Commercial),2011,66.163
Austria,Biogas,Heat (Commercial),2012,81.462
Austria,Biogas,Heat (Commercial),2013,79.273
Austria,Biogas,Heat (Commercial),2014,70.407
Austria,Biogas,Heat (Commercial),2015,68.275
Austria,Biogas,Heat (Commercial),2016,67.645
Austria,Biogas,Heat (Commercial),2017,48.224
Austria,Biogas,Heat (Commercial),2018,46.046
Austria,Biogas,Heat (Commercial),2019,29.452
Austria,Biogas,Heat (Commercial),2020,52.502
Austria,Biogas,Heat (Commercial),2021,50.476
Austria,Biogas,Heat (Commercial),2022,40.364
Austria,Biogas,Combined Heat and Power (CHP),2001,2.0
Austria,Biogas,Combined Heat and Power (CHP),2003,27.0
Austria,Biogas,Combined Heat and Power (CHP),2004,78.0
Austria,Biogas,Combined Heat and Power (CHP),2005,223.597
Austria,Biogas,Combined Heat and Power (CHP),2006,237.986
Austria,Biogas,Combined Heat and Power (CHP),2007,252.87
Austria,Biogas,Combined Heat and Power (CHP),2008,220.861
Austria,Biogas,Combined Heat and Power (CHP),2009,220.57
Austria,Biogas,Combined Heat and Power (CHP),2010,235.059
Austria,Biogas,Combined Heat and Power (CHP),2011,220.897
Austria,Biogas,Combined Heat and Power (CHP),2012,217.165
Austria,Biogas,Combined Heat and Power (CHP),2013,186.185
Austria,Biogas,Combined Heat and Power (CHP),2014,123.939
Austria,Biogas,Combined Heat and Power (CHP),2015,77.056
Austria,Biogas,Combined Heat and Power (CHP),2016,177.28
Austria,Biogas,Combined Heat and Power (CHP),2017,111.407
Austria,Biogas,Combined Heat and Power (CHP),2018,249.561
Austria,Biogas,Combined Heat and Power (CHP),2019,158.883
Austria,Biogas,Combined Heat and Power (CHP),2020,181.115
Austria,Biogas,Combined Heat and Power (CHP),2021,149.12
Austria,Biogas,Combined Heat and Power (CHP),2022,138.579
Austria,Geothermal energy,Heat (Commercial),2000,416.0
Austria,Geothermal energy,Heat (Commercial),2001,502.0
Austria,Geothermal energy,Heat (Commercial),2002,402.0
Austria,Geothermal energy,Heat (Commercial),2003,441.0
Austria,Geothermal energy,Heat (Commercial),2004,422.0
Austria,Geothermal energy,Heat (Commercial),2005,446.786
Austria,Geothermal energy,Heat (Commercial),2006,554.269
Austria,Geothermal energy,Heat (Commercial),2007,505.125
Austria,Geothermal energy,Heat (Commercial),2008,536.169
Austria,Geothermal energy,Heat (Commercial),2009,534.836
Austria,Geothermal energy,Heat (Commercial),2010,537.563
Austria,Geothermal energy,Heat (Commercial),2011,523.579
Austria,Geothermal energy,Heat (Commercial),2012,577.944
Austria,Geothermal energy,Heat (Commercial),2013,593.476
Austria,Geothermal energy,Heat (Commercial),2014,519.09
Austria,Geothermal energy,Heat (Commercial),2015,578.034
Austria,Geothermal energy,Heat (Commercial),2016,586.594
Austria,Geothermal energy,Heat (Commercial),2017,590.977
Austria,Geothermal energy,Heat (Commercial),2018,573.463
Austria,Geothermal energy,Heat (Commercial),2019,469.882
Austria,Geothermal energy,Heat (Commercial),2020,514.546
Austria,Geothermal energy,Heat (Commercial),2021,551.946
Austria,Geothermal energy,Heat (Commercial),2022,559.519
Austria,Coal and peat,Heat (Commercial),2000,40.0
Austria,Coal and peat,Combined Heat and Power (CHP),2000,2947.0
Austria,Coal and peat,Combined Heat and Power (CHP),2001,3639.0
Austria,Coal and peat,Combined Heat and Power (CHP),2002,3612.0
Austria,Coal and peat,Combined Heat and Power (CHP),2003,3398.0
Austria,Coal and peat,Combined Heat and Power (CHP),2004,3598.0
Austria,Coal and peat,Combined Heat and Power (CHP),2005,3405.3
Austria,Coal and peat,Combined Heat and Power (CHP),2006,3097.02
Austria,Coal and peat,Combined Heat and Power (CHP),2007,3035.8
Austria,Coal and peat,Combined Heat and Power (CHP),2008,3366.79
Austria,Coal and peat,Combined Heat and Power (CHP),2009,3143.76
Austria,Coal and peat,Combined Heat and Power (CHP),2010,3066.7
Austria,Coal and peat,Combined Heat and Power (CHP),2011,3199.89
Austria,Coal and peat,Combined Heat and Power (CHP),2012,3110.26
Austria,Coal and peat,Combined Heat and Power (CHP),2013,3285.5
Austria,Coal and peat,Combined Heat and Power (CHP),2014,3367.82
Austria,Coal and peat,Combined Heat and Power (CHP),2015,3910.95
Austria,Coal and peat,Combined Heat and Power (CHP),2016,3637.46
Austria,Coal and peat,Combined Heat and Power (CHP),2017,3913.47
Austria,Coal and peat,Combined Heat and Power (CHP),2018,3294.08
Austria,Coal and peat,Combined Heat and Power (CHP),2019,4251.93
Austria,Coal and peat,Combined Heat and Power (CHP),2020,2932.0
Austria,Coal and peat,Combined Heat and Power (CHP),2021,1262.98
Austria,Coal and peat,Combined Heat and Power (CHP),2022,1108.81
Austria,Oil,Heat (Commercial),2000,2851.0
Austria,Oil,Heat (Commercial),2001,4941.0
Austria,Oil,Heat (Commercial),2002,1466.0
Austria,Oil,Heat (Commercial),2003,1067.0
Austria,Oil,Heat (Commercial),2004,1660.0
Austria,Oil,Heat (Commercial),2005,2708.34
Austria,Oil,Heat (Commercial),2006,1920.34
Austria,Oil,Heat (Commercial),2007,1528.12
Austria,Oil,Heat (Commercial),2008,1573.86
Austria,Oil,Heat (Commercial),2009,1723.25
Austria,Oil,Heat (Commercial),2010,1382.95
Austria,Oil,Heat (Commercial),2011,1047.13
Austria,Oil,Heat (Commercial),2012,1366.0
Austria,Oil,Heat (Commercial),2013,1293.91
Austria,Oil,Heat (Commercial),2014,1377.2
Austria,Oil,Heat (Commercial),2015,1129.59
Austria,Oil,Heat (Commercial),2016,1128.35
Austria,Oil,Heat (Commercial),2017,965.953
Austria,Oil,Heat (Commercial),2018,892.597
Austria,Oil,Heat (Commercial),2019,353.654
Austria,Oil,Heat (Commercial),2020,391.197
Austria,Oil,Heat (Commercial),2021,983.18
Austria,Oil,Heat (Commercial),2022,1064.42
Austria,Oil,Combined Heat and Power (CHP),2000,7147.0
Austria,Oil,Combined Heat and Power (CHP),2001,7782.0
Austria,Oil,Combined Heat and Power (CHP),2002,6146.0
Austria,Oil,Combined Heat and Power (CHP),2003,6743.0
Austria,Oil,Combined Heat and Power (CHP),2004,7068.0
Austria,Oil,Combined Heat and Power (CHP),2005,6281.39
Austria,Oil,Combined Heat and Power (CHP),2006,6494.21
Austria,Oil,Combined Heat and Power (CHP),2007,5320.18
Austria,Oil,Combined Heat and Power (CHP),2008,4232.47
Austria,Oil,Combined Heat and Power (CHP),2009,5056.29
Austria,Oil,Combined Heat and Power (CHP),2010,6004.18
Austria,Oil,Combined Heat and Power (CHP),2011,3871.15
Austria,Oil,Combined Heat and Power (CHP),2012,3704.43
Austria,Oil,Combined Heat and Power (CHP),2013,3243.06
Austria,Oil,Combined Heat and Power (CHP),2014,2309.33
Austria,Oil,Combined Heat and Power (CHP),2015,3878.8
Austria,Oil,Combined Heat and Power (CHP),2016,4311.45
Austria,Oil,Combined Heat and Power (CHP),2017,3878.3
Austria,Oil,Combined Heat and Power (CHP),2018,2289.79
Austria,Oil,Combined Heat and Power (CHP),2019,1983.01
Austria,Oil,Combined Heat and Power (CHP),2020,2142.14
Austria,Oil,Combined Heat and Power (CHP),2021,2296.29
Austria,Oil,Combined Heat and Power (CHP),2022,2158.39
Austria,Natural gas,Heat (Commercial),2000,8917.0
Austria,Natural gas,Heat (Commercial),2001,3910.0
Austria,Natural gas,Heat (Commercial),2002,6564.0
Austria,Natural gas,Heat (Commercial),2003,7030.0
Austria,Natural gas,Heat (Commercial),2004,5618.0
Austria,Natural gas,Heat (Commercial),2005,7967.76
Austria,Natural gas,Heat (Commercial),2006,7631.57
Austria,Natural gas,Heat (Commercial),2007,7863.13
Austria,Natural gas,Heat (Commercial),2008,9294.51
Austria,Natural gas,Heat (Commercial),2009,9360.96
Austria,Natural gas,Heat (Commercial),2010,8993.78
Austria,Natural gas,Heat (Commercial),2011,8896.67
Austria,Natural gas,Heat (Commercial),2012,10254.2
Austria,Natural gas,Heat (Commercial),2013,12545.5
Austria,Natural gas,Heat (Commercial),2014,11297.0
Austria,Natural gas,Heat (Commercial),2015,10290.3
Austria,Natural gas,Heat (Commercial),2016,10010.2
Austria,Natural gas,Heat (Commercial),2017,10564.9
Austria,Natural gas,Heat (Commercial),2018,8538.18
Austria,Natural gas,Heat (Commercial),2019,6941.23
Austria,Natural gas,Heat (Commercial),2020,6340.99
Austria,Natural gas,Heat (Commercial),2021,7962.35
Austria,Natural gas,Heat (Commercial),2022,5383.48
Austria,Natural gas,Combined Heat and Power (CHP),2000,15548.0
Austria,Natural gas,Combined Heat and Power (CHP),2001,16594.0
Austria,Natural gas,Combined Heat and Power (CHP),2002,17740.0
Austria,Natural gas,Combined Heat and Power (CHP),2003,20573.0
Austria,Natural gas,Combined Heat and Power (CHP),2004,22669.0
Austria,Natural gas,Combined Heat and Power (CHP),2005,22486.8
Austria,Natural gas,Combined Heat and Power (CHP),2006,21463.8
Austria,Natural gas,Combined Heat and Power (CHP),2007,19828.1
Austria,Natural gas,Combined Heat and Power (CHP),2008,19796.0
Austria,Natural gas,Combined Heat and Power (CHP),2009,19760.2
Austria,Natural gas,Combined Heat and Power (CHP),2010,21298.3
Austria,Natural gas,Combined Heat and Power (CHP),2011,21942.3
Austria,Natural gas,Combined Heat and Power (CHP),2012,22829.3
Austria,Natural gas,Combined Heat and Power (CHP),2013,21786.3
Austria,Natural gas,Combined Heat and Power (CHP),2014,18439.0
Austria,Natural gas,Combined Heat and Power (CHP),2015,19028.6
Austria,Natural gas,Combined Heat and Power (CHP),2016,21163.6
Austria,Natural gas,Combined Heat and Power (CHP),2017,21689.5
Austria,Natural gas,Combined Heat and Power (CHP),2018,21981.7
Austria,Natural gas,Combined Heat and Power (CHP),2019,22675.7
Austria,Natural gas,Combined Heat and Power (CHP),2020,22316.4
Austria,Natural gas,Combined Heat and Power (CHP),2021,25342.1
Austria,Natural gas,Combined Heat and Power (CHP),2022,21809.7
Austria,Other non-renewable energy,Heat (Commercial),2000,773.0
Austria,Other non-renewable energy,Heat (Commercial),2001,799.0
Austria,Other non-renewable energy,Heat (Commercial),2002,773.0
Austria,Other non-renewable energy,Heat (Commercial),2003,759.0
Austria,Other non-renewable energy,Heat (Commercial),2004,733.0
Austria,Other non-renewable energy,Heat (Commercial),2005,879.242
Austria,Other non-renewable energy,Heat (Commercial),2006,943.534
Austria,Other non-renewable energy,Heat (Commercial),2007,1084.27
Austria,Other non-renewable energy,Heat (Commercial),2008,1115.07
Austria,Other non-renewable energy,Heat (Commercial),2009,1015.99
Austria,Other non-renewable energy,Heat (Commercial),2010,1045.69
Austria,Other non-renewable energy,Heat (Commercial),2011,1126.64
Austria,Other non-renewable energy,Heat (Commercial),2012,1107.1
Austria,Other non-renewable energy,Heat (Commercial),2013,1101.78
Austria,Other non-renewable energy,Heat (Commercial),2014,1109.38
Austria,Other non-renewable energy,Heat (Commercial),2015,1051.27
Austria,Other non-renewable energy,Heat (Commercial),2016,1048.41
Austria,Other non-renewable energy,Heat (Commercial),2017,1112.74
Austria,Other non-renewable energy,Heat (Commercial),2018,1089.36
Austria,Other non-renewable energy,Heat (Commercial),2019,1121.98
Austria,Other non-renewable energy,Heat (Commercial),2020,1112.7
Austria,Other non-renewable energy,Heat (Commercial),2021,1119.28
Austria,Other non-renewable energy,Heat (Commercial),2022,1018.29
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2000,1631.0
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2001,1558.0
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2002,1548.0
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2003,1738.0
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2004,2535.0
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2005,2182.34
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2006,2293.17
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2007,2217.73
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2008,2394.76
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2009,2729.98
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2010,3056.04
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2011,3241.92
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2012,3135.83
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2013,4039.6
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2014,4162.88
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2015,4708.09
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2016,4895.36
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2017,5065.3
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2018,4785.05
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2019,4981.79
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2020,4954.63
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2021,5355.91
Austria,Other non-renewable energy,Combined Heat and Power (CHP),2022,5131.4
Azerbaijan,Oil,Heat (Commercial),2010,99.0
Azerbaijan,Oil,Heat (Commercial),2011,34.0
Azerbaijan,Oil,Heat (Commercial),2012,36.0
Azerbaijan,Oil,Heat (Commercial),2013,19.0
Azerbaijan,Oil,Heat (Commercial),2014,14.0
Azerbaijan,Oil,Heat (Commercial),2015,11.0
Azerbaijan,Oil,Heat (Commercial),2016,13.8
Azerbaijan,Oil,Heat (Commercial),2017,11.3
Azerbaijan,Oil,Heat (Commercial),2018,11.8
Azerbaijan,Oil,Heat (Commercial),2019,11.7
Azerbaijan,Oil,Heat (Commercial),2020,5.4
Azerbaijan,Oil,Heat (Commercial),2021,4.2
Azerbaijan,Oil,Combined Heat and Power (CHP),2000,13234.0
Azerbaijan,Oil,Combined Heat and Power (CHP),2001,6299.0
Azerbaijan,Oil,Combined Heat and Power (CHP),2002,5698.0
Azerbaijan,Oil,Combined Heat and Power (CHP),2003,7474.0
Azerbaijan,Oil,Combined Heat and Power (CHP),2004,6047.0
Azerbaijan,Oil,Combined Heat and Power (CHP),2005,5776.0
Azerbaijan,Oil,Combined Heat and Power (CHP),2006,3154.0
Azerbaijan,Oil,Combined Heat and Power (CHP),2016,7.1
Azerbaijan,Oil,Combined Heat and Power (CHP),2017,3.3
Azerbaijan,Oil,Combined Heat and Power (CHP),2021,1.7
Azerbaijan,Natural gas,Heat (Commercial),2007,1888.0
Azerbaijan,Natural gas,Heat (Commercial),2008,2238.0
Azerbaijan,Natural gas,Heat (Commercial),2009,2381.0
Azerbaijan,Natural gas,Heat (Commercial),2010,2378.0
Azerbaijan,Natural gas,Heat (Commercial),2011,3174.0
Azerbaijan,Natural gas,Heat (Commercial),2012,3691.0
Azerbaijan,Natural gas,Heat (Commercial),2013,4218.0
Azerbaijan,Natural gas,Heat (Commercial),2014,5387.0
Azerbaijan,Natural gas,Heat (Commercial),2015,5414.0
Azerbaijan,Natural gas,Heat (Commercial),2016,6218.1
Azerbaijan,Natural gas,Heat (Commercial),2017,5970.7
Azerbaijan,Natural gas,Heat (Commercial),2018,6273.3
Azerbaijan,Natural gas,Heat (Commercial),2019,6215.2
Azerbaijan,Natural gas,Heat (Commercial),2020,6640.2
Azerbaijan,Natural gas,Heat (Commercial),2021,6307.7
Azerbaijan,Natural gas,Heat (Commercial),2022,6107.6
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2000,3740.0
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2001,13401.0
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2002,16254.0
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2003,16032.0
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2004,17262.0
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2005,17500.0
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2006,20503.0
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2007,4272.0
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2008,3998.0
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2009,2259.0
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2010,1312.0
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2011,1328.0
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2012,1277.0
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2013,1199.0
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2014,1377.0
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2015,1076.0
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2016,1043.0
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2017,595.0
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2018,5950.6
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2019,7785.7
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2020,7017.7
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2021,8367.7
Azerbaijan,Natural gas,Combined Heat and Power (CHP),2022,8017.7
Azerbaijan,Other non-renewable energy,Heat (Commercial),2021,4.2
Belarus,Solid biofuels,Heat (Commercial),2000,5560.0
Belarus,Solid biofuels,Heat (Commercial),2001,6640.0
Belarus,Solid biofuels,Heat (Commercial),2002,7423.0
Belarus,Solid biofuels,Heat (Commercial),2003,7942.0
